Food Code,Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Starch (g),Total sugars (g),Glucose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Cholesterol (mg)
13-153,Artichoke# globe# raw,2.8,0.2,2.7,18,Tr,1.3,0.8,0.4,0.1,0,0,,N,,0.1,Tr,0.1,0
13-156,Artichoke# Jerusalem# boiled in unsalted water# flesh only,1.6,0.1,10.6,41,Tr,1.6,0.1,0.2,1.3,0,0,,3.5,,Tr,Tr,Tr,0
13-803,Asafoetida,4,1.1,N,N,N,N,N,N,N,0,0,,N,,N,N,N,0
13-639,Asparagus# grilled,3.5,0.4,2,25,Tr,2,0.5,1.1,0.4,0,0,0,1.7,1.6,0.06,0.12,0.18,0
13-157,Asparagus# raw,2.9,0.6,2,25,0.1,1.9,0.7,1.1,0.1,0,0,0,1.7,N,0.1,0.1,0.2,0
13-640,Asparagus# roasted in rapeseed oil,3.5,1.5,2,35,Tr,2,0.5,1.1,0.4,0,0,0,1.7,1.6,0.12,0.75,0.47,0
13-638,Asparagus# steamed,2.9,0.4,1.6,21,Tr,1.6,0.4,0.9,0.3,0,0,0,1.4,1.3,0.05,0.1,0.15,0
13-651,Aubergine# flesh and skin# boiled in unsalted water,0.7,0.5,1.8,14,0.2,1.6,0.7,0.6,0.3,0,0,0,2,1.8,0.13,Tr,0.25,0
13-669,Aubergine# flesh and skin# roasted in rapeseed oil,2.1,3.8,5.2,62,0.6,4.6,2,1.7,0.9,0,0,0,5.7,5.1,0.35,1.96,1.22,0
13-412,Aubergine# fried in butter,1.2,31.9,2.8,302,0.2,2.6,1.4,1.1,0.1,0,0,,2.3,,21.1,7.7,1,73
13-162,Aubergine# fried in corn oil,1.2,31.9,2.8,302,0.2,2.6,1.4,1.1,0.1,0,0,0,2.3,N,4.1,7.9,18.5,0
13-577,Aubergine# fried in rapeseed oil,1.2,31.9,2.8,302,0.2,2.6,1.4,1.1,0.1,0,0,0,2.3,N,2.18,16.68,9.43,0
13-161,Aubergine# raw,0.9,0.4,2.2,15,0.2,2,1.1,0.8,0.1,0,0,0,2,N,0.1,Tr,0.2,0
15-001,Aubergine# stuffed with lentils and vegetables,2,4.6,3.9,64,2.1,1.7,0.8,0.7,0.1,0,0,,1.9,,0.5,1.6,2.2,0
15-662,Aubergine# stuffed with rice,1.9,2.1,15.9,86,9.8,6,3,2.7,0.2,0,0,0,2.1,N,0.22,1.01,0.7,0
15-663,Aubergine# stuffed with vegetables# cheese topping,5,9.7,3.6,119,0.2,3.2,1.5,1.4,0.3,0,0,,2.2,N,3.48,3.9,1.61,13.9
14-039,Avocado# Fuerte# flesh only,2.1,19.3,1.9,189,Tr,0.5,0.3,0.1,0.1,0,0,,3.4,,3.5,12.9,1.8,0
14-040,Avocado# Fuerte# flesh only# weighed with skin and stone,1.5,13.7,1.3,134,Tr,0.4,0.2,0.1,0.1,0,0,,2.4,,2.5,9.2,1.3,0
14-386,Avocado# Hass# flesh only,1.8,17.4,1.8,171,Tr,0.4,0.2,0.2,Tr,0,0,0,3.4,3.1,4.15,9.98,2.3,0
14-387,Avocado# Hass# flesh only# weighed with skin and stone,1.3,12,1.3,118,Tr,0.3,0.1,0.1,Tr,0,0,0,2.3,2.1,2.86,6.89,1.59,0
16-001,Ayr# raw,15.9,1.3,0,75,0,0,0,0,0,0,0,,0,,N,N,N,N
14-043,Babaco# flesh only,1.1,0.1,3.1,17,0,3.1,1.3,1.1,0.7,0,0,,N,,Tr,Tr,Tr,0
16-169,Bacha# raw,18.1,5.6,0,123,0,0,0,0,0,0,0,,0,,N,N,N,N
19-644,Bacon loin steaks# lean# grilled,28.9,4.3,1.1,158,0,1.1,N,N,N,0,0,0,0,,1.55,1.82,0.62,31
19-645,Bacon rashers# back# dry-cured# grilled,28.4,15.9,0,257,0,0,0,0,0,0,0,0,0,0,6,6.7,2.1,57
19-498,Bacon rashers# back# dry-fried,24.2,22,0,295,0,0,0,0,0,0,0,0,0,0,8.3,9.2,2.8,65
19-499,Bacon rashers# back# fat trimmed# grilled,25.7,12.3,0,214,0,0,0,0,0,0,0,0,0,0,4.6,5.2,1.6,44
19-646,Bacon rashers# back# fat trimmed# raw,18.8,6.7,0,136,0,0,0,0,0,0,0,0,0,0,2.5,2.8,0.9,31
19-500,Bacon rashers# back# grilled,23.2,21.6,0,287,0,0,0,0,0,0,0,0,0,0,8.1,9,2.8,75
19-501,Bacon rashers# back# grilled crispy,36,18.8,0,313,0,0,0,0,0,0,0,0,0,0,7.1,7.9,2.4,68
19-502,Bacon rashers# back# microwaved,24.2,23.3,0,307,0,0,0,0,0,0,0,0,0,0,8.8,9.8,3,84
19-497,Bacon rashers# back# raw,16.5,16.5,0,215,0,0,0,0,0,0,0,0,0,0,6.2,6.9,2.2,53
19-009,Bacon rashers# back# reduced salt# grilled,24.1,20.6,0,282,0,0,0,0,0,0,0,0,0,0,7.8,8.7,2.7,74
19-659,Bacon rashers# back# smoked# grilled,23.4,22.1,0,293,0,0,0,0,0,0,0,0,0,0,8.3,9.3,2.9,80
19-647,Bacon rashers# back# sweetcure# grilled,23.8,17.4,1.6,258,0,1.6,0,0,0,0,0,0,0,0,6.6,7.3,2.2,63
19-660,Bacon rashers# back# tendersweet# grilled,26.4,11.9,Tr,213,0,Tr,,,,,,0,0,0,4.5,5,1.5,43
19-648,Bacon rashers# middle# fried in corn oil,23.4,28.5,0,350,0,0,0,0,0,0,0,0,0,0,9.8,11.9,4.8,84
19-503,Bacon rashers# middle# grilled,24.8,23.1,0,307,0,0,0,0,0,0,0,0,0,0,8.4,10,3,83
19-649,Bacon rashers# middle# raw,15.2,20,0,241,0,0,0,0,0,0,0,0,0,0,7.3,8.6,2.5,58
19-504,Bacon rashers# streaky# fried in corn oil,23.8,26.6,0,335,0,0,0,0,0,0,0,0,0,0,9.1,11.1,4.5,78
19-018,Bacon rashers# streaky# grilled,23.8,26.9,0,337,0,0,0,0,0,0,0,0,0,0,9.8,11.5,3.7,90
19-016,Bacon rashers# streaky# raw,15.8,23.6,0,276,0,0,0,0,0,0,0,0,0,,8.2,10.2,3.5,65
19-537,Bacon# fat only# average# cooked,9.3,72.8,0,692,0,0,0,0,0,0,0,0,0,0,28.5,32.9,7.6,270
19-650,Bacon# fat only# average# raw,4.8,80.9,0,747,0,0,0,0,0,0,0,0,0,0,31.5,36.1,8.9,198
11-970,Bagels# plain,10,1.8,57.8,273,51.3,4.8,0.8,1,Tr,3,0,0,2.4,3,N,N,N,0
13-578,Baked beans# canned in barbecue sauce,5.3,0.4,14,77,9.2,4.8,0.9,1.1,2.8,0,0,0,3.8,4.9,N,N,N,0
13-532,Baked beans# canned in tomato sauce,5,0.5,15,81,10.2,4.8,0.6,0.8,3.4,0,0,,3.8,4.9,0.09,0.06,0.27,0
13-535,Baked beans# canned in tomato sauce# reduced sugar# reduced salt,5,0.5,13.5,75,10.2,3.3,0.6,0.8,1.9,0,0,,3.8,4.9,0.09,0.06,0.27,0
13-579,Baked beans# canned in tomato sauce# with pork sausages,6,4.5,11,98,7,4,0.5,0.7,2.8,0,0,0,2.8,3.3,N,N,N,N
12-500,Baking fat and margarine (75-90% fat)# hard block,Tr,76.4,0,688,0,0,0,0,0,0,0,,0,0,26.41,34,12.21,15
17-355,Baking powder,5.2,0,37.8,163,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0
11-1029,Banana bread# homemade,4.4,12.4,53.9,331,17.4,36.3,7.6,6.4,19.9,2.2,Tr,,1.4,N,3.27,4.42,3.85,30.8
12-556,Banana split# homemade,2.3,11.8,23.9,205,0.9,18.4,4.3,2.3,8.7,0.8,2.6,,0.5,0.6,6.91,3.32,0.71,24.4
14-318,Bananas# flesh only,1.2,0.1,20.3,81,2.2,18.1,7.9,7.5,2.7,0,0,0,0.8,1.4,0.04,Tr,0.04,0
14-347,Bananas# raw# flesh only# weighed with skin,0.8,Tr,12.8,51,1.4,11.4,5,4.7,1.7,0,0,0,0.5,0.9,0.03,Tr,0.03,0
11-1030,Bannocks# made with beremeal# homemade,9.3,1.7,56.8,266,53.7,3.1,0.1,0.1,0.7,0.3,2,,8.6,1,0.23,0.1,0.06,0.8
11-951,Bannocks# made with wheat flour# homemade,8.5,1.3,65.5,292,63.1,2.4,Tr,Tr,0.4,0.1,2,,2.7,3.1,0.46,0.22,0.19,0.8
17-705,Barbecue sauce,1,0.1,36.1,140,6.2,29.9,N,N,N,0,0,0,0.5,1.2,0,0,0.1,0
17-769,Barbecue sauce# homemade,2.7,21,26.1,300,0.1,21.5,1.8,2,17.1,0,0.1,,1.1,1.7,12.45,5.91,0.98,50.7
14-804,Barcelona nuts# Kernel only,10.9,64,5.2,639,1.8,3.4,0,0,3.4,0,0,,N,,N,N,N,0
14-805,Barcelona nuts# kernel only# weighed with shells,6.8,39.7,3.2,397,1.1,2.1,0,0,2.1,0,0,,N,,N,N,N,0
17-844,Barley water# diluted,0.1,Tr,4.7,18,0.4,4.3,N,N,N,N,0,0,Tr,Tr,Tr,Tr,Tr,0
17-743,Barley water# undiluted,0.3,Tr,23.7,90,2.2,21.5,N,N,N,N,0,0,Tr,Tr,Tr,Tr,Tr,0
11-003,Barley# pearl# boiled,2.7,0.6,27.6,120,27.6,Tr,Tr,Tr,Tr,Tr,0,,N,,,,,
11-002,Barley# pearl# raw,7.9,1.7,83.6,360,83.6,Tr,Tr,Tr,Tr,Tr,0,,N,,,,,
13-805,Basil# dried# ground,14.4,4,43.2,251,Tr,N,N,N,N,0,0,,N,,N,N,N,0
13-804,Basil# fresh,3.1,0.8,5.1,40,Tr,N,N,N,N,0,0,0,N,N,N,N,N,0
16-386,Bass# sea# flesh only# baked,23.2,6.8,0,154,0,0,0,0,0,0,0,,0,0,1.47,2.29,2.09,49
16-463,Bass# sea# flesh only# baked# weighed with bones and skin,20.6,6.1,0,137,0,0,0,0,0,0,0,0,0,0,1.31,2.04,1.86,43.6
16-385,Bass# sea# flesh only# raw,20,9.8,0,168,0,0,0,0,0,0,0,0,0,0,2.16,3.42,2.91,71
16-464,Bass# sea# flesh only# raw# weighed with bones and skin,17.2,8.4,0,144,0,0,0,0,0,0,0,0,0,0,1.86,2.94,2.5,61
13-806,Bay leaf# dried,7.6,8.4,48.6,313,Tr,N,N,N,N,0,0,,N,,2.3,1.6,2.3,0
15-664,Bean loaf# mixed beans# homemade,6.6,7.2,15.1,148,10.5,3.6,1.1,1.2,1.2,0,0,,4.3,N,0.59,3.6,2.38,0
15-665,Beanburger# aduki# fried in rapeseed oil# homemade,8.1,7.3,24.1,190,21.4,2.3,0.7,0.5,1,0.1,0,,4.4,N,N,N,N,30.6
15-666,Beanburger# butter bean# fried in rapeseed oil# homemade,5.7,10.6,20.2,194,16.2,3,0.6,0.5,1.9,Tr,0,,4,N,0.85,5.84,3.24,0
15-667,Beanburger# red kidney bean# fried in rapeseed oil,6.2,10.7,21.7,202,17.7,2.6,0.6,0.5,1.5,Tr,0,,4.8,N,0.85,5.89,3.3,0
15-668,Beanburger# soya# fried in rapeseed oil,10.5,10.7,14.5,193,9.9,3.7,1,1,1.8,Tr,0,,4.6,N,1.18,4.39,3.87,29.2
13-042,Beans# aduki# whole# dried# boiled in unsalted water,9.3,0.2,22.5,123,20.8,0.5,Tr,Tr,0.3,0.1,0,0,5.5,,N,N,N,0
13-041,Beans# aduki# whole# dried# raw,19.9,0.5,50.1,272,44.7,1,0.1,Tr,0.7,0.2,0,0,11.1,,N,N,N,0
13-049,Beans# balor# ends trimmed# raw,2.7,0.1,3,23,0.6,2.4,N,N,N,0,0,,3.5,,Tr,Tr,Tr,0
13-063,Beans# blackeye# whole# dried# boiled in unsalted water,8.8,0.7,19.9,116,18,1.1,0.1,Tr,0.9,Tr,0,0,3.5,N,0.2,0.1,0.3,0
13-062,Beans# blackeye# whole# dried# raw,23.5,1.6,54.1,311,47.5,2.9,0.2,0.1,2.5,0.1,0,0,8.2,,0.5,0.1,0.7,0
13-067,Beans# broad# dried# raw,26.1,2.1,32.5,245,24.4,5.9,0.6,1.5,3.8,0,0,,27.6,,0.3,0.3,1.1,0
13-648,Beans# broad# whole# boiled in unsalted water,9,1,12.3,91,11.2,1.1,Tr,Tr,1.1,0,0,0,5.4,9,0.13,0.13,0.5,0
13-064,Beans# broad# whole# raw,5.7,1,7.2,59,5.4,1.3,0.1,0.3,0.9,0,0,,6.1,,0.1,0.1,0.5,0
13-559,Beans# butter# canned# re-heated# drained,5.9,0.5,13,77,10.9,1.1,Tr,Tr,1.1,0,0,0,4.6,N,0.1,Tr,0.2,0
13-663,Beans# butter# dried# boiled in unsalted water,8.1,1.1,16.8,105,15.4,1.4,Tr,Tr,1.4,0,0,0,5.2,11.2,0.18,Tr,0.55,0
13-070,Beans# butter# dried# raw,19.1,1.7,52.9,290,46.2,3.6,Tr,Tr,3.6,0,0,,16,,0.4,0.1,0.8,0
13-666,Beans# cannellini# canned# re-heated# drained,7.6,1.6,15.9,104,15.2,0.7,Tr,Tr,0.7,0,0,0,6.1,6.8,0.27,0.27,0.8,0
13-670,Beans# chick peas# canned# re-heated# drained,8.4,3,18.3,129,17.6,0.7,Tr,Tr,0.7,0,0,0,4.3,7.1,0.29,0.57,1.43,0
13-077,Beans# chick peas# Kabuli# split# dried# boiled in unsalted water,7.7,2,17.4,114,15.9,1,Tr,0.1,0.9,0,0,,N,,0.2,0.4,1,0
13-076,Beans# chick peas# Kabuli# split# dried# raw,22.7,5.4,49.6,325,43.8,2.6,Tr,0.2,2.4,0,0,,N,,0.5,1.1,2.7,0
13-662,Beans# chick peas# Kabuli# whole# dried# boiled in unsalted water,8.4,3,18.3,129,17.6,0.7,Tr,Tr,0.7,0,0,0,4.3,10.6,0.29,0.57,1.43,0
13-074,Beans# chick peas# Kabuli# whole# dried# raw,21.3,5.4,49.6,320,43.8,2.6,Tr,0.2,2.4,0,0,0,10.7,,0.5,1.1,2.7,0
13-080,Beans# cluster# raw,2.6,0.1,3,23,0.1,2.9,N,N,N,0,0,,N,,Tr,Tr,Tr,0
13-667,Beans# edamame# frozen# boiled in unsalted water,12.2,7.6,6.5,142,3.9,2.6,Tr,0.1,1.3,1.2,0,0,N,5.9,0.85,2.44,2.74,0
13-515,Beans# green# boiled in unsalted water,2.1,0.3,4,26,0.9,3,1.3,1.2,0.5,0,0,0,2.5,4.1,0.06,Tr,0.18,0
13-514,Beans# green# raw,2.1,0.4,3.1,24,1,2.2,0.8,1.4,Tr,0,0,0,2.5,3.4,0.08,Tr,0.24,0
13-665,Beans# haricot# canned# re-heated# drained,7.1,1,15.6,96,15,0.6,Tr,Tr,0.6,0,0,0,6.1,6.8,0.2,0.2,0.2,0
13-087,Beans# haricot# whole# dried# boiled in unsalted water,6.6,0.5,17.2,95,15.8,0.8,0.1,Tr,0.7,0,0,,6.1,,0.1,0.1,0.1,0
13-086,Beans# haricot# whole# dried# raw,21.4,1.6,49.7,286,42.7,2.8,0.2,0.1,2.5,0,0,,17,,0.3,0.4,0.5,0
13-099,Beans# mung# dahl# dried# boiled in unsalted water,7.8,0.4,15.3,92,14.1,0.5,0.1,0.1,0.3,0,0,,N,,0.1,Tr,0.2,0
13-098,Beans# mung# dahl# dried# raw,26.8,1.1,46.3,291,40.9,1.5,0.2,0.3,1,0,0,,N,,0.3,0.1,0.5,0
13-664,Beans# mung# whole# dried# boiled in unsalted water,8.6,0.7,15.8,100,15.4,0.4,Tr,Tr,0.4,0,0,0,3,6.1,0.18,Tr,0.35,0
13-096,Beans# mung# whole# dried# raw,23.9,1.1,46.3,279,40.9,1.5,0.2,0.3,1,0,0,0,10,,0.3,0.1,0.5,0
13-100,Beans# papri# raw,5.4,0.3,4.2,40,2.4,1.8,N,N,N,0,0,,N,,N,N,N,0
13-105,Beans# pigeon peas# dahl# dried# boiled in unsalted water,8.7,0.5,21.2,118,20.3,0.6,Tr,0.1,0.5,0,0,,N,,0.1,Tr,0.2,0
13-104,Beans# pigeon peas# dahl# dried# raw,21.8,1.9,58.6,324,54.8,1.7,0.1,0.2,1.4,0,0,,N,,0.4,0.1,0.9,0
13-103,Beans# pigeon peas# whole# dried# boiled in unsalted water,8.5,0.5,21.2,117,20.3,0.6,Tr,0.1,0.5,0,0,,N,,0.1,Tr,0.2,0
13-102,Beans# pigeon peas# whole# dried# raw,20,1.9,58.6,317,54.8,1.7,0.1,0.2,1.4,0,0,,N,,0.4,0.1,0.9,0
13-107,Beans# pinto# dried# boiled in unsalted water,8.9,0.7,23.9,137,N,N,N,N,N,0,0,,N,,0.1,Tr,0.4,0
13-106,Beans# pinto# dried# raw,21.1,1.6,57.1,327,N,N,N,N,N,0,0,,N,,0.2,0.1,0.9,0
13-108,Beans# pinto# re-fried beans,6.2,1.1,15.3,107,N,N,N,N,N,0,0,,N,,N,N,N,0
13-660,Beans# red kidney# canned in water# re-heated# drained,8.6,1,15.1,100,14.3,0.8,Tr,Tr,0.8,0,0,0,6.7,6.8,0.2,Tr,0.6,0
13-659,Beans# red kidney# dried# boiled in unsalted water,8.6,1,15.1,100,14.3,0.8,Tr,Tr,0.8,0,0,0,6.7,11.1,0.2,Tr,0.6,0
13-109,Beans# red kidney# dried# raw,22.1,1.4,44.1,266,38,2.5,0.2,0.1,2.2,0,0,0,15.7,N,0.2,0.1,0.8,0
13-654,Beans# runner# boiled in unsalted water,1.1,0.5,1.9,16,0.3,1.6,0.2,1,0.4,0,0,0,1.9,2.2,0.1,Tr,0.3,0
13-112,Beans# runner# raw,1.6,0.4,3.2,22,0.4,2.8,0.9,1.3,0.6,0,0,0,2,N,0.1,Tr,0.2,0
13-116,Beans# soya# dried# boiled in unsalted water,14,7.3,5.1,141,1.9,2.1,0.1,0.2,1.9,0,0,0,6.1,N,0.9,1.4,3.5,0
13-115,Beans# soya# dried# raw,35.9,18.6,15.8,370,4.8,5.5,0.2,0.5,4.8,0,0,0,15.7,N,2.3,3.5,9.1,0
13-117,Beans# sword# raw,2.5,0.3,7.2,41,N,N,N,N,N,0,0,,N,,N,N,N,0
13-580,Beansprouts# mung# boiled in unsalted water,2.5,0.5,2.8,25,1.4,1.4,0.7,0.7,Tr,0,0,,1.3,,0.1,0.1,0.2,0
13-426,Beansprouts# mung# raw,2.9,0.5,4,31,1.8,2.2,1.1,1.1,Tr,0,0,0,1.5,N,0.1,0.1,0.2,0
13-567,Beansprouts# mung# stir-fried in rapeseed oil,1.9,6.1,2.5,72,1.1,1.4,0.6,0.8,Tr,0,0,0,0.9,N,0.47,3.42,1.84,0
19-471,Beef bourguignon# homemade,13.8,6.2,2.5,140,1.4,0.9,0.3,0.3,0.2,0,0,3,0.4,0.4,2.09,2.46,1.24,41.9
19-548,Beef bourguignonne# made with lean beef# homemade,14.1,4.2,2.5,105,1.4,0.8,0.3,0.2,0.2,0,0,3,0.4,0.5,1.25,2.03,0.64,40.1
17-514,Beef extract,40.4,0.6,3.2,179,2.8,0.4,0.2,0.2,Tr,0,0,0,0,0,N,N,N,N
19-588,Beef olives# homemade,13.9,11,1.6,159,1.2,0.3,0.1,0.1,0.1,0,0,,0.1,0.2,4.07,4.98,1.19,34.6
19-589,Beef steak pudding# homemade,11.5,10.2,18.7,207,18.4,0.8,0.3,0.2,0.3,0,0,0,0.9,1.1,5.41,3.74,0.38,34.1
19-551,Beef Stroganoff# homemade,15.3,11.2,2.5,171,Tr,2.1,0.5,0.4,0.4,0,0.8,,0.5,0.6,6.22,3.72,0.49,60.9
19-552,Beef Wellington# homemade,16.3,25.5,16.2,356,15.4,0.7,0.1,0,0,0.7,Tr,0,0.4,1.4,10.19,10.24,2.63,54
18-009,Beef# braising steak# braised# lean and fat,32.9,12.7,0,246,0,0,0,0,0,0,0,0,0,0,5.3,5.2,0.8,100
18-008,Beef# braising steak# braised# lean only,34.4,9.7,0,225,0,0,0,0,0,0,0,0,0,0,4.1,4.1,0.6,100
18-006,Beef# braising steak# raw# lean,21.8,5.7,0,139,0,0,0,0,0,0,0,0,0,,2.4,2.5,0.3,63
18-007,Beef# braising steak# raw# lean and fat,20.7,8.6,0,160,0,0,0,0,0,0,0,0,0,,3.8,3.8,0.4,62
18-010,Beef# braising steak# slow cooked# lean,31.4,7.9,0,197,0,0,0,0,0,0,0,0,0,,3.4,3.3,0.5,90
18-011,Beef# braising steak# slow cooked# lean and fat,29,11.2,0,217,0,0,0,0,0,0,0,0,0,,4.8,4.7,0.7,87
18-014,Beef# brisket# boiled# lean,31.4,11,0,225,0,0,0,0,0,0,0,0,0,,4.6,5,0.4,77
